datetime,bon_inflow,tda_inflow,jda_inflow,mcn_inflow
2018-09-07 00:00:00,105.091,101.074,97.247,96.451
2018-09-07 01:00:00,105.091,101.074,97.247,96.451
2018-09-07 02:00:00,105.091,101.074,97.247,96.451
2018-09-07 03:00:00,105.091,101.074,97.247,96.451
2018-09-07 04:00:00,105.091,101.074,97.247,96.451
2018-09-07 05:00:00,95.162,100.632,102.715,109.771
2018-09-07 06:00:00,95.162,100.632,102.715,109.771
2018-09-07 07:00:00,95.162,100.632,102.715,109.771
2018-09-07 08:00:00,95.162,100.632,102.715,109.771
2018-09-07 09:00:00,95.162,100.632,102.715,109.771
2018-09-07 10:00:00,95.162,100.632,102.715,109.771
2018-09-07 11:00:00,112.005,106.924,104.633,100.75
2018-09-07 12:00:00,112.005,106.924,104.633,100.75
2018-09-07 13:00:00,112.005,106.924,104.633,100.75
2018-09-07 14:00:00,112.005,106.924,104.633,100.75
2018-09-07 15:00:00,112.005,106.924,104.633,100.75
2018-09-07 16:00:00,112.005,106.924,104.633,100.75
2018-09-07 17:00:00,103.349,97.662,92.455,89.716
2018-09-07 18:00:00,103.349,97.662,92.455,89.716
2018-09-07 19:00:00,103.349,97.662,92.455,89.716
2018-09-07 20:00:00,103.349,97.662,92.455,89.716
2018-09-07 21:00:00,103.349,97.662,92.455,89.716
2018-09-07 22:00:00,103.349,97.662,92.455,89.716
2018-09-07 23:00:00,94.837,90.764,87.173,91.885
2018-09-08 00:00:00,94.837,90.764,87.173,91.885
2018-09-08 01:00:00,94.837,90.764,87.173,91.885
2018-09-08 02:00:00,94.837,90.764,87.173,91.885
2018-09-08 03:00:00,94.837,90.764,87.173,91.885
2018-09-08 04:00:00,94.837,90.764,87.173,91.885
2018-09-08 05:00:00,93.935,93.037,90.981,97.601
2018-09-08 06:00:00,93.935,93.037,90.981,97.601
2018-09-08 07:00:00,93.935,93.037,90.981,97.601
2018-09-08 08:00:00,93.935,93.037,90.981,97.601
2018-09-08 09:00:00,93.935,93.037,90.981,97.601
2018-09-08 10:00:00,93.935,93.037,90.981,97.601
2018-09-08 11:00:00,95.993,92.819,88.66,92.321
2018-09-08 12:00:00,95.993,92.819,88.66,92.321
2018-09-08 13:00:00,95.993,92.819,88.66,92.321
2018-09-08 14:00:00,95.993,92.819,88.66,92.321
2018-09-08 15:00:00,95.993,92.819,88.66,92.321
2018-09-08 16:00:00,95.993,92.819,88.66,92.321
2018-09-08 17:00:00,92.246,89.3,86.068,89.515
2018-09-08 18:00:00,92.246,89.3,86.068,89.515
2018-09-08 19:00:00,92.246,89.3,86.068,89.515
2018-09-08 20:00:00,92.246,89.3,86.068,89.515
2018-09-08 21:00:00,92.246,89.3,86.068,89.515
2018-09-08 22:00:00,92.246,89.3,86.068,89.515
2018-09-08 23:00:00,90.021,87.776,84.792,89.562
2018-09-09 00:00:00,90.021,87.776,84.792,89.562
2018-09-09 01:00:00,90.021,87.776,84.792,89.562
2018-09-09 02:00:00,90.021,87.776,84.792,89.562
2018-09-09 03:00:00,90.021,87.776,84.792,89.562
2018-09-09 04:00:00,90.021,87.776,84.792,89.562
2018-09-09 05:00:00,89.354,87.62,84.875,88.912
2018-09-09 06:00:00,89.354,87.62,84.875,88.912
2018-09-09 07:00:00,89.354,87.62,84.875,88.912
2018-09-09 08:00:00,89.354,87.62,84.875,88.912
2018-09-09 09:00:00,89.354,87.62,84.875,88.912
2018-09-09 10:00:00,89.354,87.62,84.875,88.912
2018-09-09 11:00:00,83.219,81.89,78.582,81.254
2018-09-09 12:00:00,83.219,81.89,78.582,81.254
2018-09-09 13:00:00,83.219,81.89,78.582,81.254
2018-09-09 14:00:00,83.219,81.89,78.582,81.254
2018-09-09 15:00:00,83.219,81.89,78.582,81.254
2018-09-09 16:00:00,83.219,81.89,78.582,81.254
2018-09-09 17:00:00,85.55,85.0,82.778,83.474
2018-09-09 18:00:00,85.55,85.0,82.778,83.474
2018-09-09 19:00:00,85.55,85.0,82.778,83.474
2018-09-09 20:00:00,85.55,85.0,82.778,83.474
2018-09-09 21:00:00,85.55,85.0,82.778,83.474
2018-09-09 22:00:00,85.55,85.0,82.778,83.474
2018-09-09 23:00:00,88.029,87.14,84.573,84.504
2018-09-10 00:00:00,88.029,87.14,84.573,84.504
2018-09-10 01:00:00,88.029,87.14,84.573,84.504
2018-09-10 02:00:00,88.029,87.14,84.573,84.504
2018-09-10 03:00:00,88.029,87.14,84.573,84.504
2018-09-10 04:00:00,88.029,87.14,84.573,84.504
2018-09-10 05:00:00,89.718,88.605,86.006,86.494
2018-09-10 06:00:00,89.718,88.605,86.006,86.494
2018-09-10 07:00:00,89.718,88.605,86.006,86.494
2018-09-10 08:00:00,89.718,88.605,86.006,86.494
2018-09-10 09:00:00,89.718,88.605,86.006,86.494
2018-09-10 10:00:00,89.718,88.605,86.006,86.494
2018-09-10 11:00:00,84.487,86.1,85.0,95.324
